element,electronegativity,atomic_radius,ionization_energy,electron_affinity,d_electrons,group,period,melting_point
Fe,1.83,1.4,7.9024681,0.15323635,6,8,4,1811.0
Mo,2.16,1.45,7.09243,0.747238,15,6,5,2896.0
Ru,2.2,1.3,7.3605,1.046272,17,8,5,2607.0
Co,1.88,1.35,7.88101,0.66225547,7,9,4,1768.0
Ni,1.91,1.35,7.639878,1.1571612,8,10,4,1728.0
W,2.36,1.35,7.86403,0.81650082,24,6,6,3695.0
V,1.63,1.35,6.746187,0.527662,3,5,4,2183.0
Mn,1.55,1.4,7.434038,-0.52,5,7,4,1519.0
Cr,1.66,1.4,6.76651,0.67592827,5,6,4,2180.0
Cu,1.9,1.35,7.72638,1.235784,10,11,4,1357.77
Rh,2.28,1.35,7.4589,1.142892,18,9,5,2237.0
Re,1.9,1.35,7.83352,0.06039664,25,7,6,3459.0
Os,2.2,1.3,8.43823,1.07766124,26,8,6,3306.0
Ir,2.2,1.35,8.96702,1.56405712,27,9,6,2739.0
