element,electronegativity,atomic_radius,ionization_energy,electron_affinity,d_electrons,group,period,melting_point,d_band_center,d_band_width,d_band_filling,work_function,surface_energy,bulk_modulus,nitride_formation_energy,crystal_structure,magnetic_moment,dG_N,dG_NNH,dG_NH,dG_NH2,limiting_potential_UL,dG_H_HER,experimental_yield_ug_h_mg,experimental_FE_percent
Fe,1.83,1.4,7.9024681,0.15323635,6,8,4,1811.0,-1.29,3.9,0.7,4.67,2.45,170,-0.21,BCC,2.22,-0.44,0.52,-0.68,-0.32,-0.52,-0.22,2.35,4.51
Mo,2.16,1.45,7.09243,0.747238,15,6,5,2896.0,-1.3,4.2,0.7,4.36,2.91,261,-0.88,BCC,0.0,-0.28,0.44,-0.42,-0.18,-0.44,-0.08,5.18,8.13
Ru,2.2,1.3,7.3605,1.046272,17,8,5,2607.0,-1.41,3.8,0.8,4.71,3.05,321,-0.12,HCP,0.0,-0.31,0.48,-0.5,-0.25,-0.48,-0.1,4.2,7.5
Co,1.88,1.35,7.88101,0.66225547,7,9,4,1768.0,-1.17,3.6,0.78,5.0,2.52,191,-0.35,HCP,1.72,-0.52,0.61,-0.75,-0.4,-0.61,-0.28,1.8,3.2
Ni,1.91,1.35,7.639878,1.1571612,8,10,4,1728.0,-1.29,3.4,0.86,5.15,1.99,188,-0.05,FCC,0.61,-0.15,0.72,-0.3,-0.1,-0.72,-0.15,1.1,1.8
W,2.36,1.35,7.86403,0.81650082,24,6,6,3695.0,-1.78,5.1,0.7,4.55,3.28,310,-0.52,BCC,0.0,-0.85,0.91,-1.1,-0.65,-0.91,-0.42,,
V,1.63,1.35,6.746187,0.527662,3,5,4,2183.0,-1.09,3.8,0.55,4.3,2.62,158,-1.05,BCC,0.0,-0.68,0.78,-0.95,-0.55,-0.78,-0.35,2.5,3.5
Mn,1.55,1.4,7.434038,-0.52,5,7,4,1519.0,-1.7,3.5,0.65,4.1,1.74,120,-0.98,cubic,0.0,-1.2,1.05,-1.45,-0.9,-1.2,-0.58,,
Cr,1.66,1.4,6.76651,0.67592827,5,6,4,2180.0,-1.49,4.0,0.65,4.5,2.68,160,-0.41,BCC,0.0,-0.6,0.82,-0.88,-0.48,-0.82,-0.32,1.75,2.9
Cu,1.9,1.35,7.72638,1.235784,10,11,4,1357.77,-2.67,3.2,1.0,4.65,1.79,140,0.47,FCC,0.0,0.67,1.42,0.25,0.55,-1.42,0.05,0.32,0.5
Rh,2.28,1.35,7.4589,1.142892,18,9,5,2237.0,-1.73,4.1,0.8,4.98,2.66,269,-0.15,FCC,0.0,-0.4,0.55,-0.55,-0.28,-0.55,-0.18,3.6,5.6
Re,1.9,1.35,7.83352,0.06039664,25,7,6,3459.0,-1.83,4.8,0.75,4.96,3.21,372,-0.4,HCP,0.0,-0.95,0.98,-1.2,-0.78,-1.05,-0.48,,
Os,2.2,1.3,8.43823,1.07766124,26,8,6,3306.0,-1.78,4.6,0.85,5.2,3.47,395,-0.2,HCP,0.0,-0.72,0.85,-0.95,-0.6,-0.88,-0.38,,
Ir,2.2,1.35,8.96702,1.56405712,27,9,6,2739.0,-2.11,4.3,0.88,5.27,3.0,354,-0.22,FCC,0.0,-0.5,0.65,-0.7,-0.35,-0.65,-0.25,2.8,4.1
